lambda,fixed,Pb,Pd,Nc,N
6.7,0,0.2945938,0.5562053667,12.1751284218,30000000
6.8,0,0.3025642333,0.5503506667,12.2257876122,30000000
6.9,0,0.3105111,0.5446085,12.2729067781,30000000
7,0,0.3182633333,0.5388291667,12.3163676868,30000000
7.1,0,0.3259936667,0.5331265667,12.3596285944,30000000
7.2,0,0.3332484,0.5279150667,12.4016975573,30000000
7.3,0,0.3407995,0.5223068333,12.4413364982,30000000
7.4,0,0.3475693,0.5172282667,12.4773004013,30000000
7.5,0,0.3547993,0.5117508667,12.5133913297,30000000
7.6,0,0.3616893667,0.5066415,12.5491744498,30000000
7.7,0,0.3687017333,0.5014135667,12.5811752389,30000000
7.8,0,0.3754616,0.4964196667,12.6151031639,30000000
7.9,0,0.3821739667,0.4913867,12.6456389865,30000000
8,0,0.3884338,0.4865304667,12.6724754483,30000000
8.1,0,0.3951877333,0.481325,12.7024128389,30000000
8.2,0,0.4011976333,0.4768627667,12.7292094703,30000000
8.3,0,0.4072389333,0.4721849333,12.7552472664,30000000
8.4,0,0.4134937333,0.4674985,12.7800517693,30000000
8.5,0,0.4193921,0.4629886667,12.8070738043,30000000
8.6,0,0.425143,0.4586169,12.8294319581,30000000
8.7,0,0.4311387667,0.4539779,12.8534541949,30000000
8.8,0,0.4367633333,0.4496158667,12.8741805834,30000000
8.9,0,0.4425639333,0.4452056,12.8961455287,30000000
9,0,0.4474910333,0.4414552333,12.9144764204,30000000
9.1,0,0.4531607,0.4370208667,12.9360566471,30000000
9.2,0,0.4585128,0.4329466667,12.9547989525,30000000
9.3,0,0.4633111,0.4291080667,-nan,30000000
9.4,0,0.4683313,0.4252798667,12.9900351315,30000000
9.5,0,0.4732236667,0.4215549667,13.0071157412,30000000
9.6,0,0.4782137,0.4175137667,13.0235876576,30000000
9.7,0,0.4832324,0.4137139333,13.0409919481,30000000
9.8,0,0.4881562667,0.4099361667,13.057157881,30000000
9.9,0,0.4924665,0.4065179667,13.0709008935,30000000
10,0,0.4971701667,0.4028697333,13.0860023077,30000000
10.1,0,0.5015580333,0.3993994,13.1007535658,30000000
10.2,0,0.5062447,0.3957644667,13.1149888636,30000000
10.3,0,0.5104236333,0.3924508,13.1280220995,30000000
10.4,0,0.5146770667,0.3891574,13.1412906264,30000000
10.5,0,0.5189967,0.3859157333,13.1542848275,30000000
10.6,0,0.5230544667,0.3825746333,13.1663995032,30000000
10.7,0,0.5269714333,0.3796066333,13.1775919051,30000000
10.8,0,0.5311661667,0.3761462667,13.1902357063,30000000
10.9,0,0.5349881333,0.3732309,13.201311265,30000000
11,0,0.5388494333,0.3702100667,13.2123932222,30000000
11.1,0,0.5431594667,0.3667326333,13.2237199267,30000000
11.2,0,0.546913,0.3638857,13.2347423356,30000000
11.3,0,0.5504391,0.3610601,13.2452249464,30000000
11.4,0,0.553957,0.3582756667,13.2540307115,30000000
11.5,0,0.5573546,0.3556365333,13.2634310164,30000000
11.6,0,0.5612501,0.3525766,13.274358907,30000000
11.7,0,0.5645448333,0.3499314667,13.2823854686,30000000
11.8,0,0.5682015667,0.3470846333,13.2923638778,30000000
11.9,0,0.5714335667,0.3444986667,13.3008983578,30000000
12,0,0.5748645667,0.3418620667,13.3094746079,30000000
12.1,0,0.5779838333,0.3393230333,13.3180785344,30000000
12.2,0,0.5811096333,0.3368566667,13.3258478239,30000000
12.3,0,0.5843849667,0.3342102333,13.3338305711,30000000
12.4,0,0.5874940667,0.3318912,13.3421852089,30000000
12.5,0,0.5906056333,0.329322,13.3501674166,30000000
12.6,0,0.5935967333,0.3270462,13.3573629047,30000000
12.7,0,0.5967084,0.3245367333,13.3650314057,30000000
12.8,0,0.5998934667,0.3220764667,13.3724341311,30000000
12.9,0,0.6024219667,0.3199844667,13.3785676665,30000000
13,0,0.6055345667,0.3176251667,13.3861584651,30000000
13.1,0,0.6084565333,0.3152784,13.3928796618,30000000
13.2,0,0.6111321,0.3130786,13.3990040853,30000000
13.3,0,0.6138903667,0.3109888,13.4058579862,30000000
13.4,0,0.6165881,0.3088044,13.4121249805,30000000
13.5,0,0.6192888333,0.3065686333,13.4184430474,30000000
13.6,0,0.6219808667,0.3045379333,13.4243233321,30000000
13.7,0,0.6245016,0.3024545667,13.4297173527,30000000
13.8,0,0.6269863,0.3005253667,13.43554108,30000000
13.9,0,0.6297007333,0.2984298,13.4419282211,30000000
14,0,0.6321017333,0.2965517333,13.4471403755,30000000
14.1,0,0.6346139333,0.2943737333,13.4525926511,30000000
14.2,0,0.6370265667,0.292615,13.458243628,30000000
14.3,0,0.6396001333,0.2904492,13.4640714537,30000000
14.4,0,0.6419241,0.2887015,13.4689468116,30000000
14.5,0,0.6442959667,0.2867717667,13.4740853413,30000000
14.6,0,0.6464126333,0.2850346333,13.4785145503,30000000
14.7,0,0.6490684667,0.2829564667,13.4847378046,30000000
14.8,0,0.6512738667,0.2812563,13.4890834036,30000000
14.9,0,0.6534365,0.2794513,13.4936340776,30000000
15,0,0.6556458667,0.2776257333,13.4980988692,30000000
15.1,0,0.6578141333,0.2759726667,13.5026361744,30000000
15.2,0,0.6598337,0.2743682333,13.5063934718,30000000
